VAA , Geek , 10 , 10 , 859 , 90
VAB , Generous , 6 , 10 , 622 , 53
VAC , Miser , 7 , 7 , 920 , 77
VAD , Geek , 10 , 6 , 619 , 56
VAE , Miser , 9 , 7 , 689 , 98
VAF , Miser , 5 , 8 , 847 , 65
VAG , Miser , 5 , 5 , 592 , 68
VAH , Miser , 6 , 7 , 559 , 51
VAI , Miser , 5 , 5 , 772 , 69
VAJ , Miser , 7 , 9 , 643 , 79
VAK , Generous , 5 , 9 , 826 , 80
VAL , Geek , 5 , 9 , 894 , 81
VAM , Geek , 6 , 7 , 566 , 64
VAN , Geek , 5 , 9 , 619 , 55
VAO , Geek , 10 , 10 , 772 , 73
VAP , Generous , 8 , 10 , 782 , 89
VAQ , Generous , 10 , 9 , 575 , 100
VAR , Geek , 5 , 6 , 998 , 94
VAS , Miser , 10 , 5 , 883 , 64
VAT , Miser , 6 , 10 , 801 , 78
VAU , Geek , 8 , 6 , 950 , 82
VAV , Generous , 7 , 6 , 572 , 92
VAW , Geek , 10 , 8 , 575 , 50
VAX , Miser , 10 , 9 , 690 , 73
VAY , Miser , 6 , 9 , 885 , 63
VAZ , Generous , 10 , 5 , 774 , 74
VBB , Geek , 7 , 9 , 806 , 92
VBC , Generous , 10 , 7 , 514 , 65
VBD , Miser , 6 , 5 , 798 , 52
VBE , Miser , 9 , 6 , 969 , 99
VBF , Miser , 10 , 5 , 908 , 71
VBG , Geek , 10 , 10 , 751 , 99
VBH , Generous , 10 , 5 , 511 , 52
VBI , Generous , 6 , 5 , 915 , 75
VBJ , Miser , 10 , 8 , 723 , 68
VBK , Miser , 9 , 7 , 625 , 74
VBL , Miser , 5 , 10 , 678 , 63
VBM , Generous , 8 , 5 , 558 , 92
VBN , Generous , 10 , 10 , 823 , 73
VBO , Geek , 8 , 6 , 950 , 79
VBP , Geek , 9 , 6 , 554 , 55
VBQ , Geek , 9 , 10 , 685 , 60
VBR , Miser , 8 , 7 , 785 , 85
VBS , Miser , 10 , 7 , 776 , 92
VBT , Miser , 6 , 5 , 670 , 96
VBU , Geek , 8 , 5 , 882 , 98
VBV , Miser , 8 , 7 , 712 , 91
VBW , Geek , 10 , 9 , 856 , 100
VBX , Miser , 10 , 8 , 763 , 59
VBY , Geek , 8 , 8 , 878 , 90
VBZ , Generous , 8 , 9 , 850 , 81
VCC , Miser , 10 , 7 , 920 , 63
VCD , Geek , 6 , 10 , 527 , 51
VCE , Geek , 5 , 9 , 591 , 67
VCF , Generous , 9 , 10 , 556 , 82
VCG , Miser , 6 , 5 , 836 , 85
VCH , Geek , 10 , 9 , 776 , 93
VCI , Geek , 8 , 10 , 571 , 97
VCJ , Miser , 10 , 6 , 992 , 61
VCK , Geek , 5 , 7 , 701 , 57
VCL , Geek , 7 , 5 , 937 , 69
